Description,Given Category,Given Sub-Category,Category,Sub_Category
Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,,
"Seth Thomas 8 1/2"" Cubicle Clock",Furniture,Furnishings,,
Newell 351,Office Supplies,Art,,
Wilson Jones Impact Binders,Office Supplies,Binders,,
Xerox 1903,Office Supplies,Paper,,
Logitech diNovo Edge Keyboard,Technology,Accessories,,
Dana Swing-Arm Lamps,Furniture,Furnishings,,
Xerox 1996,Office Supplies,Paper,,
"Deflect-o EconoMat Nonstudded, No Bevel Mat",Furniture,Furnishings,,
iOttie HLCRIO102 Car Mount,Technology,Phones,,
Xerox 1953,Office Supplies,Paper,,
Flat Face Poster Frame,Furniture,Furnishings,,
"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",Office Supplies,Appliances,,
Acco Suede Grain Vinyl Round Ring Binder,Office Supplies,Binders,,
"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Furniture,Furnishings,,
"OIC Binder Clips, Mini, 1/4"" Capacity, Black",Office Supplies,Fasteners,,
Newell 351,Office Supplies,Art,,
Regeneration Desk Collection,Furniture,Furnishings,,
Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,Technology,Accessories,,
GE 30524EE4,Technology,Phones,,
Newell 351,Office Supplies,Art,,
AT&T CL83451 4-Handset Telephone,Technology,Phones,,
Staple envelope,Office Supplies,Envelopes,,
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders,,
AT&T CL82213,Technology,Phones,,
Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,,
Xerox 1950,Office Supplies,Paper,,
Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),Technology,Phones,,
"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage,,
DAX Two-Tone Silver Metal Document Frame,Furniture,Furnishings,,
"SAFCO Mobile Desk Side File, Wire Frame",Office Supplies,Storage,,
Newell 351,Office Supplies,Art,,
"XtraLife ClearVue Slant-D Ring Binder, White, 3""",Office Supplies,Binders,,
Belkin F9M820V08 8 Outlet Surge,Office Supplies,Appliances,,
"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,,
Logitech ClearChat Comfort/USB Headset H390,Technology,Accessories,,
Eldon Gobal File Keepers,Office Supplies,Storage,,
Avery 492,Office Supplies,Labels,,
Canon Imageclass D680 Copier / Fax,Technology,Copiers,,
Recycled Easel Ring Binders,Office Supplies,Binders,,
Pressboard Hanging Data Binders for Unburst Sheets,Office Supplies,Binders,,
"Tenex Chairmat w/ Average Lip, 45"" x 53""",Furniture,Furnishings,,
Peel & Seel Envelopes,Office Supplies,Envelopes,,
Staple-based wall hangings,Furniture,Furnishings,,
Staple envelope,Office Supplies,Envelopes,,
"Eldon Image Series Desk Accessories, Burgundy",Furniture,Furnishings,,
Xerox 1895,Office Supplies,Paper,,
"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,,
Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,Binders,,
DAX Two-Tone Silver Metal Document Frame,Furniture,Furnishings,,
"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",Furniture,Furnishings,,
Eldon Radial Chair Mat for Low to Medium Pile Carpets,Furniture,Furnishings,,
"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",Furniture,Furnishings,,
Acme Tagit Stainless Steel Antibacterial Scissors,Office Supplies,Supplies,,
Tensor Brushed Steel Torchiere Floor Lamp,Furniture,Furnishings,,
Xerox 1880,Office Supplies,Paper,,
Letter Size Cart,Office Supplies,Storage,,
Aluminum Screw Posts,Office Supplies,Binders,,
DAX Black Cherry Wood-Tone Poster Frame,Furniture,Furnishings,,
Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black,Technology,Phones,,
DAX Clear Channel Poster Frame,Furniture,Furnishings,,
Macally Suction Cup Mount,Technology,Phones,,
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Furniture,Furnishings,,
Motorola Droid Maxx,Technology,Phones,,
Cisco 8x8 Inc. 6753i IP Business Phone System,Technology,Phones,,
GBC Personal VeloBind Strips,Office Supplies,Binders,,
Avery Non-Stick Binders,Office Supplies,Binders,,
"Dana Fluorescent Magnifying Lamp, White, 36""",Furniture,Furnishings,,
"Peel & Seel Recycled Catalog Envelopes, Brown",Office Supplies,Envelopes,,
Toshiba IPT2010-SD IP Telephone,Technology,Phones,,
3M Organizer Strips,Office Supplies,Binders,,
Xerox 2000,Office Supplies,Paper,,
"Eldon Regeneration Recycled Desk Accessories, Smoke",Furniture,Furnishings,,
Newell 351,Office Supplies,Art,,
Xerox 1909,Office Supplies,Paper,,
GBC DocuBind P100 Manual Binding Machine,Office Supplies,Binders,,
Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,,
Xerox 1934,Office Supplies,Paper,,
"Linden 10"" Round Wall Clock, Black",Furniture,Furnishings,,
Ultra Door Push Plate,Furniture,Furnishings,,
Eldon 200 Class Desk Accessories,Furniture,Furnishings,,
Logitech MX Performance Wireless Mouse,Technology,Accessories,,
Nu-Dell Executive Frame,Furniture,Furnishings,,
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Furniture,Furnishings,,
Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,,
Xerox 230,Office Supplies,Paper,,
Newell 351,Office Supplies,Art,,
Xerox 1933,Office Supplies,Paper,,
Advantus Plastic Paper Clips,Office Supplies,Fasteners,,
"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,,
"Executive Impressions 13"" Clairmont Wall Clock",Furniture,Furnishings,,
Newell Chalk Holder,Office Supplies,Art,,
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,,
WD My Passport Ultra 500GB Portable External Hard Drive,Technology,Accessories,,
"Maxell 74 Minute CD-R Spindle, 50/Pack",Technology,Accessories,,
Samsung Rugby III,Technology,Phones,,
"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Furniture,Furnishings,,
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Office Supplies,Appliances,,
Newell Chalk Holder,Office Supplies,Art,,
Fellowes High-Stak Drawer Files,Office Supplies,Storage,,
"Executive Impressions 16-1/2"" Circular Wall Clock",Furniture,Furnishings,,
Samsung Galaxy S4 Active,Technology,Phones,,
Avery 492,Office Supplies,Labels,,
Xerox 1919,Office Supplies,Paper,,
Newell Chalk Holder,Office Supplies,Art,,
"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies,Binders,,
DAX Black Cherry Wood-Tone Poster Frame,Furniture,Furnishings,,
Newell Chalk Holder,Office Supplies,Art,,
Eldon Wave Desk Accessories,Furniture,Furnishings,,
Acrylic Self-Standing Desk Frames,Furniture,Furnishings,,
Newell Chalk Holder,Office Supplies,Art,,
"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Furniture,Furnishings,,
Premium Transparent Presentation Covers by GBC,Office Supplies,Binders,,
Cardinal EasyOpen D-Ring Binders,Office Supplies,Binders,,
Jabra SPEAK 410,Technology,Phones,,
Newell Chalk Holder,Office Supplies,Art,,
Newell Chalk Holder,Office Supplies,Art,,
Riverleaf Stik-Withit Designer Note Cubes,Office Supplies,Paper,,
Socket Bluetooth Cordless Hand Scanner (CHS),Technology,Machines,Electronics,Electronics_misc
Xerox 1960,Office Supplies,Paper,,
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,,
Xerox 213,Office Supplies,Paper,,
"Eldon Stackable Tray, Side-Load, Legal, Smoke",Furniture,Furnishings,,
Aluminum Document Frame,Furniture,Furnishings,,
Standard Rollaway File with Lock,Office Supplies,Storage,,
Economy Rollaway Files,Office Supplies,Storage,,
Xerox 2,Office Supplies,Paper,,
Nontoxic Chalk,Office Supplies,Art,,
Xerox 220,Office Supplies,Paper,,
"Wirebound Message Books, Four 2 3/4 x 5 Forms per Page, 200 Sets per Book",Office Supplies,Paper,,
"Advantus Push Pins, Aluminum Head",Office Supplies,Fasteners,,
Nontoxic Chalk,Office Supplies,Art,,
Staple-based wall hangings,Furniture,Furnishings,,
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",Office Supplies,Binders,,
"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Office Supplies,Paper,,
Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,,
Electrix Fluorescent Magnifier Lamps & Weighted Base,Furniture,Furnishings,,
Griffin GC17055 Auxiliary Audio Cable,Technology,Phones,,
Logitech Mobile Speakerphone P710e - speaker phone,Technology,Phones,,
Magnifier Swing Arm Lamp,Furniture,Furnishings,,
Nontoxic Chalk,Office Supplies,Art,,
Belkin 7 Outlet SurgeMaster II,Office Supplies,Appliances,,
Harmony Air Purifier,Office Supplies,Appliances,,
"Seth Thomas 16"" Steel Case Clock",Furniture,Furnishings,,
Fellowes Command Center 5-outlet power strip,Office Supplies,Appliances,,
Belkin Standard 104 key USB Keyboard,Technology,Accessories,,
Avery 506,Office Supplies,Labels,,
Airmail Envelopes,Office Supplies,Envelopes,,
Innergie mMini Combo Duo USB Travel Charging Kit,Technology,Phones,,
"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,,
"Eldon 200 Class Desk Accessories, Black",Furniture,Furnishings,,
GBC ProClick Spines for 32-Hole Punch,Office Supplies,Binders,,
Nontoxic Chalk,Office Supplies,Art,,
Contemporary Wood/Metal Frame,Furniture,Furnishings,,
Flat Face Poster Frame,Furniture,Furnishings,,
Nontoxic Chalk,Office Supplies,Art,,
Staple envelope,Office Supplies,Envelopes,,
C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings,,
Easy-staple paper,Office Supplies,Paper,,
Star Micronics TSP100 TSP143LAN Receipt Printer,Technology,Machines,Electronics,Electronics_misc
Recycled Easel Ring Binders,Office Supplies,Binders,,
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",Office Supplies,Binders,,
"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",Technology,Accessories,,
"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furniture,Furnishings,,
Star Micronics TSP800 TSP847IIU Receipt Printer,Technology,Machines,Electronics,Electronics_misc
Avery Round Ring Poly Binders,Office Supplies,Binders,,
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Furnishings,,
Nu-Dell EZ-Mount Plastic Wall Frames,Furniture,Furnishings,,
Staple envelope,Office Supplies,Envelopes,,
Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories,,
Safco Industrial Shelving,Office Supplies,Storage,,
Nontoxic Chalk,Office Supplies,Art,,
"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",Furniture,Furnishings,,
Xerox 1997,Office Supplies,Paper,,
Belkin F9G930V10-GRY 9 Outlet Surge,Office Supplies,Appliances,,
DAX Natural Wood-Tone Poster Frame,Furniture,Furnishings,,
GBC ProClick Punch Binding System,Office Supplies,Binders,,
"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,Binders,,
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,Furnishings,,
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Office Supplies,Binders,,
Nontoxic Chalk,Office Supplies,Art,,
Nontoxic Chalk,Office Supplies,Art,,
DAX Wood Document Frame.,Furniture,Furnishings,,
Ibico Plastic Spiral Binding Combs,Office Supplies,Binders,,
Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,,
Letter Size File,Office Supplies,Storage,,
Xerox 1977,Office Supplies,Paper,,
Xerox 1884,Office Supplies,Paper,,
Logitech G35 7.1-Channel Surround Sound Headset,Technology,Accessories,,
"Seth Thomas 14"" Day/Date Wall Clock",Furniture,Furnishings,,
Eldon Wave Desk Accessories,Furniture,Furnishings,,
Xerox 197,Office Supplies,Paper,,
"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",Furniture,Furnishings,,
Eureka The Boss Cordless Rechargeable Stick Vac,Office Supplies,Appliances,,
"Maxell 74 Minute CDR, 10/Pack",Technology,Accessories,,
Xerox 1917,Office Supplies,Paper,,
Xerox 1970,Office Supplies,Paper,,
Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories,,
Stackable Trays,Furniture,Furnishings,,
Artistic Insta-Plaque,Furniture,Furnishings,,
Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Office Supplies,Appliances,,
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,,
"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",Office Supplies,Binders,,
Samsung Galaxy S4,Technology,Phones,,
DAX Wood Document Frame,Furniture,Furnishings,,
Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,,
Memorex Mini Travel Drive 32 GB USB 2.0 Flash Drive,Technology,Accessories,,
Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Office Supplies,Appliances,,
"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings,,
Xerox 1999,Office Supplies,Paper,,
Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,,
HTC One,Technology,Phones,,
"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Furniture,Furnishings,,
"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Office Supplies,Paper,,
Wilson Jones Four-Pocket Poly Binders,Office Supplies,Binders,,
Canon PC1080F Personal Copier,Technology,Copiers,,
Safco Industrial Shelving,Office Supplies,Storage,,
Acme Office Executive Series Stainless Steel Trimmers,Office Supplies,Supplies,,
"Acco Banker's Clasps, 5 3/4""-Long",Office Supplies,Fasteners,,
"Eldon Imàge Series Desk Accessories, Clear",Furniture,Furnishings,,
Xerox 1950,Office Supplies,Paper,,
ClearSounds CSC500 Amplified Spirit Phone Corded phone,Technology,Phones,,
"Career Cubicle Clock, 8 1/4"", Black",Furniture,Furnishings,,
NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,Technology,Accessories,,
"OIC #2 Pencils, Medium Soft",Office Supplies,Art,,
"OIC #2 Pencils, Medium Soft",Office Supplies,Art,,
"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",Technology,Accessories,,
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders,,
Samsung HM1900 Bluetooth Headset,Technology,Phones,,
Deflect-o Glass Clear Studded Chair Mats,Furniture,Furnishings,,
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Storage,,
Xerox 1936,Office Supplies,Paper,,
Fellowes 8 Outlet Superior Workstation Surge Protector,Office Supplies,Appliances,,
"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 15/Pack",Technology,Accessories,,
"It's Hot Message Books with Stickers, 2 3/4"" x 5""",Office Supplies,Paper,,
Recycled Pressboard Report Cover with Reinforced Top Hinge,Office Supplies,Binders,,
Microsoft Wireless Mobile Mouse 4000,Technology,Accessories,,
"OIC #2 Pencils, Medium Soft",Office Supplies,Art,,
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,Envelopes,,
Wilson Jones data.warehouse D-Ring Binders with DublLock,Office Supplies,Binders,,
Hoover Commercial SteamVac,Office Supplies,Appliances,,
Howard Miller Distant Time Traveler Alarm Clock,Furniture,Furnishings,,
Hoover Shoulder Vac Commercial Portable Vacuum,Office Supplies,Appliances,,
Eldon Gobal File Keepers,Office Supplies,Storage,,
"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage,,
"OIC #2 Pencils, Medium Soft",Office Supplies,Art,,
"OIC #2 Pencils, Medium Soft",Office Supplies,Art,,
Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),Technology,Accessories,,
DAX Wood Document Frame,Furniture,Furnishings,,
Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,,
Xerox 1977,Office Supplies,Paper,,
"TOPS Voice Message Log Book, Flash Format",Office Supplies,Paper,,
"OIC #2 Pencils, Medium Soft",Office Supplies,Art,,
Xerox 202,Office Supplies,Paper,,
Wilson Jones Legal Size Ring Binders,Office Supplies,Binders,,
"OIC #2 Pencils, Medium Soft",Office Supplies,Art,,
invisibleSHIELD by ZAGG Smudge-Free Screen Protector,Technology,Phones,,
Tops Wirebound Message Log Books,Office Supplies,Paper,,
Kensington Expert Mouse Optical USB Trackball for PC or Mac,Technology,Accessories,,
Samsung HM1900 Bluetooth Headset,Technology,Phones,,
Xerox 203,Office Supplies,Paper,,
Ibico Presentation Index for Binding Systems,Office Supplies,Binders,,
Wireless Extenders zBoost YX545 SOHO Signal Booster,Technology,Phones,,
Panasonic KP-150 Electric Pencil Sharpener,Office Supplies,Art,,
Maxell 4.7GB DVD+RW 3/Pack,Technology,Accessories,,
Bagged Rubber Bands,Office Supplies,Fasteners,,
"Executive Impressions 14""",Furniture,Furnishings,,
Tennsco Double-Tier Lockers,Office Supplies,Storage,,
Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,,
Cisco SPA301,Technology,Phones,,
JM Magazine Binder,Office Supplies,Binders,,
36X48 HARDFLOOR CHAIRMAT,Furniture,Furnishings,,
Panasonic KP-150 Electric Pencil Sharpener,Office Supplies,Art,,
Xerox 1938,Office Supplies,Paper,,
Plantronics S12 Corded Telephone Headset System,Technology,Accessories,,
"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,,
Tensor Track Tree Floor Lamp,Furniture,Furnishings,,
"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Office Supplies,Paper,,
Xerox 1909,Office Supplies,Paper,,
Xerox 1998,Office Supplies,Paper,,
Panasonic KP-150 Electric Pencil Sharpener,Office Supplies,Art,,
Staple envelope,Office Supplies,Envelopes,,
Panasonic KP-150 Electric Pencil Sharpener,Office Supplies,Art,,
DAX Two-Tone Silver Metal Document Frame,Furniture,Furnishings,,
Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,Office Supplies,Art,,
Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,Office Supplies,Art,,
Xerox 1968,Office Supplies,Paper,,
Apple iPhone 5,Technology,Phones,,
Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,,
GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,,
Star Micronics TSP800 TSP847IIU Receipt Printer,Technology,Machines,Electronics,Electronics_misc
NETGEAR RangeMax WNR1000 Wireless Router,Technology,Accessories,,
Poly String Tie Envelopes,Office Supplies,Envelopes,,
Staple holder,Office Supplies,Appliances,,
Staples,Office Supplies,Fasteners,,
Advantus Rolling Storage Box,Office Supplies,Storage,,
GBC VeloBind Cover Sets,Office Supplies,Binders,,
