Description,Category,Sub_Category,ProductBrand,Description2
OddCroft Grey & White Self Design Bedside Table Lamp with Shade,Home,Decor,OddCroft,Type: Bedside Table Lamp with Shade Colour: Grey Pattern: Self Design Shape: Abstract Shaped Shade material: Fabric Base material: Ceramic
Puma Men Black Ballast SoftFoam+ Running Shoes,Clothes,Shoes,Puma,"Special Technology:SoftFoam+ sockliner: Flexible sock collar with cushioned foot bed provides optimal step-in comfortProduct Design Details:A pair of black running sports shoes, has regular styling, lace-up detailFully knitted upperSlip-in sock collarMolded rubber heel clip with bold PUMA brandingLightweight foam midsole provides cushioning and comfortRubber outsole offers durable traction from the heel through the forefootEmbrodiered PUMA Cat Logo at lateral forefootTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Raymond Men White Contemporary Regular Fit Solid Formal Shirt,Clothes,Clothes,Raymond,"White solid formal shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Puma Men Red Carson Pro Idp Running Shoes,Clothes,Shoes,Puma,"Special technologies:SoftFoam: PUMA's dual-density insole provides two unique layers of cushioning for customised comfort, fit and long-lasting durabilityDesign details:A pair of red & black running sports shoes, has regular styling, lace-up detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Pepe Jeans Girls Yellow Printed Round Neck T-shirt,Clothes,Clothes,Pepe Jeans,"Yellow printed T-shirt, has a round neck, and short sleeves"
U.S. Polo Assn. Men Khaki Solid Pure Cotton Boxers Y9I108-556-PL,Clothes,Clothes,U.S. Polo Assn.,"Khaki solid boxers, has an elasticated waistband, button fly, 2 pocket"
Puma Unisex White Tenaz Walking Shoes,Clothes,Shoes,Puma,"Design details:A pair of white walking sports shoes, has regular styling, lace-up detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Pepe Jeans Boys Blue Straight Fit Clean Look Jeans,Clothes,Clothes,Pepe Jeans,"Blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops"
Wild stone Men Set of 2 Code Chrome Body Perfumes,Clothes,Bags_Accessories,Wild stone,"This set consist of two Code Chrome Body PerfumesNotesFreshness of lavender, bergamot, musk and vetiverThe aqueous notes of chrome, infused with zesty citrus and greensFeaturesContains zero gas, only perfumeFragrance is safe to use on skin andÂ lasts for a long time."
Lino Perros Blue Solid Shoulder Bag,Clothes,Bags_Accessories,Lino Perros,"Blue solid shoulder bag, has a zip closure1 main compartment, 1 external and 3 inner pocketsTablet sleeve: NoTwo HandlesWarranty: 3 monthsWarranty provided by brand/manufacturer"
Tommy Hilfiger Men Black Textured Genuine Leather Two Fold Wallet,Clothes,Bags_Accessories,Tommy Hilfiger,"Black textured two fold wallet1 main compartment8 card holders, 2 slip pockets, has a detachable flap1 ID card holdersWarranty: 6 monthsWarranty provided by brand/manufacturer"
Pepe Jeans Boys Red Printed Round Neck T-shirt,Clothes,Clothes,Pepe Jeans,"Red printed T-shirt, has a round neck, and short sleeves"
Louis Philippe Sport Men Blue & Grey Slim Fit Printed Casual Shirt,Clothes,Clothes,Louis Philippe Sport,"Blue and Grey printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Trend Arrest Women Burgundy & White Striped Basic Layered Jumpsuit,Clothes,Clothes,Trend Arrest,"Burgundy, white and grey striped basic layered jumpsuit, has a halter neck with tie-up, sleeveless, two pockets, concealed zip closure"
Pepe Jeans Boys Blue & Yellow DART LS IP Regular Fit Checked Casual Shirt,Clothes,Clothes,Pepe Jeans,"Blue and Yellow checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Pepe Jeans Boys Blue Slim Fit Mid-Rise Clean Look Jeans,Clothes,Clothes,Pepe Jeans,"Blue medium wash 5-pocket mid-rise jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops"
Puma Unisex Black Osu v4 FM Walking Shoes,Clothes,Shoes,Puma,"Special Technology:SoftFoam+sockliner: Flexible sock collar with cushioned foot bed provides easy optimal step-in comfortDesign Details:A pair of black walking sports shoes, has regular styling, slip-on detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Louis Philippe Sport Men Blue & White Slim Fit Checked Casual Shirt,Clothes,Clothes,Louis Philippe Sport,"Blue and White checked casual shirt, has a spread collar, short sleeves, button placket, curved hem, and 1 patch pocket"
Puma Men Black Perforated Ralph Sampson Lo Leather Sneakers,Clothes,Shoes,Puma,"Product design detailsÂ Main material: Leather upper / Textile lining / Rubber outsoleÂ Brand colour:Â Black-Faded DenimCentral lace-upÂ Warranty: 3 months against manufacturing defectWarranty provided by brand owner/manufacturerAbout Puma Men Ralph Sampson Lo Basketball ShoesInspired by and designed after four-time All-Star, NBA Rookie of the Year, Houston Rockets alumni and Hall-of-Famer Ralph Sampson, these clean, classic, court-ready kicks combine sport style with modern urban fashion. In celebration of his legacy, PUMA is bringing this signature shoe back from the archives in low and high top silhouettes. With a luxurious leather upper for an edgy aesthetic, these kicks are icons in the game or on street - just like Ralph himself."
Puma Men Blue Electron Street Sneakers,Clothes,Shoes,Puma,"Special TechnologiesMade for the streets, the Electron Street is an impressive viztech style highlighting a shock-absorbing visible technology heel plug-in for a comfortable walk.Run those streets fast and in comfort with a breathable knitted upper, synthetic quarter panels for support and an elastic heel gore with bold branding.The Softfoam+ sockliner provides superior cushioning and optimal comfort for every step of your day.CUSHIONING: The visible midsole heel plug-in and Softfoam+ sockliner ensure cushioning and a smooth rideCOMFORT: A sleek, lightweight and breathable mesh upper ensures maximum comfortDesign DetailsBlueÂ sneaker, has lace up closureMesh upperEVA midsoleRubber outsoleWarranty: 3 monthsWarranty provided by Brand Owner / ManufacturerÂ owner / manufacturer"
Pepe Jeans Boys Green & Navy Blue Colourblocked Round Neck DYLAN T-shirt,Clothes,Clothes,Pepe Jeans,"Green and navy blue colourblocked T-shirt, has a round neck, and long sleeves"
Lapis O Lupo Turquoise Blue Solid Sling Bag,Clothes,Bags_Accessories,Lapis O Lupo,"Turquoise Blue solid sling bag, has a zip closure1 main compartment, 1 inner pocket"
Wintage Men Orange Woven Design Straight Kurta,,,Wintage,"Orange woven design straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
Puma Men Blue Printed Croatia IDP Sports Sandals,Clothes,Shoes,Puma,A pair ofÂ blue sports sandalsÂ with dual Velcro closuresSynthetic upperCushioned footbedTextured outsole with patterned outsoleWarranty: 3 months against manufacturing defects only.Warranty provided by brand/manufacturer
Pepe Jeans Boys Red & White Printed Round Neck T-shirt,Clothes,Clothes,Pepe Jeans,"Red and White printed T-shirt, has a round neck, and long sleeves"
Genius18 Men Charcoal Grey Solid Slim Fit Joggers,Clothes,Clothes,Genius18,"Charcoal grey solid mid-rise joggers, has an elasticated waistband with drawstring fastening, three pockets and side stripes"
Wintage Men Red & Black Striped Straight Kurta,,,Wintage,"Red and Black striped straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
SG YUVRAJ Boys Beige Solid Kurta with Pyjamas,Clothes,Clothes,SG YUVRAJ,"Beige solid kurta with pyjamas Beige pathani knee length kurta, has a shirt collar, long sleeves, curved hem Beige solid pyjamas, drawstring closure"
Pepe Jeans Girls Blue & White Striped Skinny Fit Low Distress Applique Stretchable Jeans,Clothes,Clothes,Pepe Jeans,"  Light no fade blue jeans   Skinny fit,  mid-rise   Low distress   Stretchable   Printed   5 pocket   Length: regular  "
Lino Perros Women Brown Textured Three Fold Wallet,Clothes,Bags_Accessories,Lino Perros,"Brown textured three fold wallet1 main compartment, has a non detachable flap 4 card holders, 3 slip pockets, has a zip coin pocket"
Pepe Jeans Boys Navy Blue Printed Sweater,Clothes,Clothes,Pepe Jeans,"Navy Blue printed sweater, has a round neck, long sleeves, and ribbed hem"
Wintage Men Red & Black Striped Straight Kurta,,,Wintage,"Red and Black striped straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
Wintage Men Rust Printed Straight Kurta,,,Wintage,"Rust printed straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
MISH Women Green Shift Dress,Clothes,Clothes,MISH,"Green solid woven shift dress, has shoulder straps, concealed zip closure, an attached lining, and straight hem, side slsit on one side"
The Vanca Women Multicoloured Printed A-Line Top,Clothes,Clothes,The Vanca,"Multicoloured printed woven A-line  top, has a tie-up neck, and long sleeves"
Puma Men Grey Jordy IDP Sports Sandals,Clothes,Shoes,Puma,"A pair of grey solid sports sandals, secured with a Velcro closureSynthetic upperCushioned footbedTextured and patterned outsole"
Puma Unisex Navy Blue Vista Sneakers,Clothes,Shoes,Puma,"Special Technology:SoftFoam + sockliner: Sock structure for flexible fit and long-lasting comfortDesign Details:A pair of round-toe navy blue sneakers, has regular styling, lace-up detailMesh upper with suede and synthetic leather overlaysOpen-air mesh heel pieceComfortable slip-on sock structure with lace closureEVA midsole for cushioning and comfortRubber outsole for better traction and gripCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Lino Perros Pink Textured Handheld Bag,Clothes,Bags_Accessories,Lino Perros,"Pink textured handheld bag, has a zip closure1 main compartment, 3 inner pocketsTablet sleeve: NoTwo Handles"
Lapis O Lupo Black Solid Leatherette Handheld Bag,Clothes,Bags_Accessories,Lapis O Lupo,"Black solid handheld bag, has a zip closure2 main compartments, 1 inner pocketTablet sleeve: NoTwo Handles"
Wintage Men Turquoise Blue Woven Design Straight Kurta,,,Wintage,"Turquoise Blue woven design straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
Puma Unisex Navy Blue Drive Essential Mu Idp Slip-On SoftFoam +Walking Shoes,Clothes,Shoes,Puma,"Special Technology:SoftFoam + insole provides superior cushioning and comfort ideal for every stage of your dayDesign Details:A pair of navy blue walking sports shoes, has regular styling, slip-on detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
Woodland Men Tan Brown Leather Solid Belt,Clothes,Clothes,Woodland,Tan brown leather solid beltReversible: NoStretchable: NoSecured with a tang closure
Wishful by W Women Green Printed Kurta,,,W,"Green printed kurta with sequinned detail, has a round neck, three-quarter sleeves, a keyhole detail on the back with a button-and-loop closure,Â and side slits"
Wishful by W Women Navy Printed Kurta,,,W,"Navy and maroon kurta with print and sequinned detail, has a round neck, three-quarter sleeves, and side slits"
WITH Men Pack of 2 Printed Pure Cotton Boxers WB25-WB26,Clothes,Clothes,WITH,"Pack of two printed regular-fit boxers in black and grey, each has an inner elasticated waistband, slip-on closure"
Twisha Girls Off-White Printed Top,Clothes,Clothes,Twisha,"Off-White printed woven regular top, has a round neck, short sleeves, and hook and eye closureComes with a white camisole"
WITH Men Pack of 2 Printed Pure Cotton Boxers WB43-WB54,Clothes,Clothes,WITH,"Pack of two printed regular-fit boxers in green and blue, each has an inner elasticated waistband, button fly, slip-on closure"
Women Silver-Plated Handcrafted Maang Tikka,,,Studio Voylla,"Silver-plated handcrafted maang tikka, has intricate textured detailing and artificial stonesSecured with S-hook closure"
Pepe Jeans Boys Navy Blue Cashed Slim Fit Faded Denim Trousers,Clothes,Clothes,Pepe Jeans,"Navy Blue faded denim trousers, has a drawstring closure, 3 pockets and 2 mock pockets on the back"
Pepe Jeans Boys Off White & Blue Printed T-shirt,Clothes,Clothes,Pepe Jeans,"  Off white and blue Tshirt for boys   Graphic printed   Regular length   Round neck   Short,  regular sleeves   Knitted cotton fabric  "
Pepe Jeans Boys Blue Slim Fit Light Fade Stretchable Jeans,Clothes,Clothes,Pepe Jeans,"  Dark light fade blue jeans   Slim fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  "
Pepe Jeans Girls Grey Skinny Fit Light Fade Stretchable Jeans,Clothes,Clothes,Pepe Jeans,"  Light fade grey jeans   Skinny fit,  mid-rise   Clean look   Stretchable   5 pocket   Length: regular  "
Alcis Men Green Printed Round Neck Sports T-shirt,Clothes,Clothes,Alcis,"Green printed sports T-shirt, has a round neck, and short sleeves"
Alcis Women Blue Printed V-Neck T-shirt,Clothes,Clothes,Alcis,"Blue printed T-shirt, has a V-neck, and short sleeves"
Lapis O Lupo Mustard Brown Self Design Handheld Bag,Clothes,Bags_Accessories,Lapis O Lupo,"Mustard BrownÂ self design handheld bag, has a zip closure4 main compartments, 1 inner pocketDetachable sling strapTwo Handles"
Alcis Women Solid Charcoal Grey Solid Hooded Tracksuit,Clothes,Clothes,Alcis,"Charcoal grey solid tracksuitCharcoal grey solid track sweatshirt, has a hood with drawstring, long sleeves, two pockets, zip closureCharcoal grey solid mid-rise track pants, has an elasticated waistband with drawstring closure, two pockets"
Woodland Men Brown Corc-Textured Leather Passport Holder,,,Woodland,Brown croc-textured leather passport holder1 main compartment4 card holdersComes in a box
Puma Men Black Monarch FG Football Shoes,Clothes,Shoes,Puma,"Design Details:A pair of black football sports shoes, has regular styling, lace-up detailSoft yet highly durable synthetic leatherLightweight TPU outsole with conical studsPUMA Cat Logo on tongueContrasting PUMA Formstrip on lateral sideSuitable for use on firm natural surfacesFG: Firm GroundWarranty: 3 monthsWarranty provided by brand/manufacturer"
